Equipment ID,Property Line,BRS Code,Property,Location,Rack,Shelf,Equipment Shelf,Shelf Row,Shelf Col,Part ID,Part Description,Part No,Hitachi Part No,Serial No,Location System,Line Owner,Asset Owner,Asset Use Indicator,Asset Use,Asset Use Description,Manufacture Date,Install Date,Commissioning Date,Acceptance Date,In Service Date,Useful Life Start Date,Decommissioning Date,Warranty Start,Warranty Period,Life Expectancy,MCCMS Ref,Modifications,TTS Critical Asset,Capital Asset,Eng Comment,Software,Reused,Ceased,Last Var,Last Sor,Last Fault,Card Life From Today,Card Life From Subsequent Year,Card Life Will Reach
EQ-9308,Property Line 40,BRS-856,high,East Davidbury,Rack D,Shelf 5,"Shelf 9, Row 4",Row 4,Col 1,Part 60308,Country language protect forward argue cell dinner believe.,Part No D15,Hitachi 68889,SN-313468,must,Michael Frank DVM,Henry-Haynes,Standby,Main Power,Individual information size although compare little.,25/02/2019,14/03/2017,27/04/2025,20/10/2023,18/09/2016,21/06/2024,27/12/2034,17/05/2023,4 Years,28 Years,MCCMS-552,Pattern direction daughter reality bank hold.,No,No,Cover fall yourself town build else theory material.,Firmware 1.1,Yes,Yes,11/12/2024,19/10/2020,07/07/2025,13 Years,2 Years,17/08/2058
EQ-2512,Property Line 49,BRS-882,day,Lake Christopher,Rack D,Shelf 3,"Shelf 5, Row 4",Row 2,Col 4,Part 11109,Reflect example view treat positive art decide.,Part No W11,Hitachi 54728,SN-650990,heavy,Brandon Davis,Obrien LLC,Operational,Main Power,Free notice serious various debate activity appear.,16/04/2017,23/02/2023,12/12/2013,17/10/2019,12/03/2023,01/01/2023,04/06/2039,17/02/2022,4 Years,26 Years,MCCMS-789,Set for car then.,No,No,Who difference turn would church they common imagine.,Firmware 1.4,No,Yes,03/03/2021,15/01/2024,02/04/2023,17 Years,12 Years,19/10/2055
EQ-7003,Property Line 9,BRS-333,staff,Shawbury,Rack E,Shelf 1,"Shelf 2, Row 1",Row 2,Col 3,Part 41438,Edge get lose office ask.,Part No Q7,Hitachi 88155,SN-576357,beautiful,Amanda Freeman,"Weaver, Wilson and Jones",Standby,Main Power,Talk letter carry base indeed rise none tax.,25/09/2018,28/03/2010,04/12/2011,19/02/2015,21/08/2020,25/03/2024,24/03/2044,27/11/2025,8 Years,38 Years,MCCMS-820,Main middle thought.,Yes,No,Land better tree effect daughter near defense central forget.,Firmware 2.0,No,No,20/10/2020,21/09/2023,31/07/2024,2 Years,13 Years,28/10/2043
EQ-6061,Property Line 47,BRS-361,consumer,Johnhaven,Rack D,Shelf 9,"Shelf 2, Row 2",Row 4,Col 1,Part 93597,Food it sure billion.,Part No K6,Hitachi 78497,SN-394161,success,Samuel Barnes,Kennedy-Martinez,Standby,Main Power,Doctor two lay best smile billion no.,21/09/2019,17/04/2011,23/12/2016,24/09/2009,29/11/2014,04/03/2022,08/02/2037,09/07/2023,5 Years,33 Years,MCCMS-981,Ball senior fire generation tough do author.,Yes,No,Laugh sell financial as daughter week.,Firmware 3.0,Yes,Yes,28/11/2021,14/05/2021,14/02/2022,2 Years,16 Years,18/08/2052
EQ-2801,Property Line 34,BRS-856,author,Pereztown,Rack A,Shelf 3,"Shelf 3, Row 4",Row 3,Col 3,Part 73303,Wait decision view.,Part No G5,Hitachi 74363,SN-643654,mother,Timothy Henry,Johnson-Carr,Standby,Main Power,Arrive central head organization listen yes fish floor.,09/05/2018,13/10/2010,02/08/2024,30/12/2012,29/08/2024,22/05/2024,01/01/2042,23/11/2024,5 Years,42 Years,MCCMS-912,Notice either enter recent.,No,No,Toward expect they necessary cultural magazine sign.,Firmware 3.5,No,No,19/04/2025,26/07/2020,04/11/2023,10 Years,6 Years,12/02/2048
EQ-6312,Property Line 16,BRS-282,federal,Sarahfort,Rack E,Shelf 8,"Shelf 2, Row 3",Row 1,Col 2,Part 62500,Change own threat standard.,Part No K1,Hitachi 92447,SN-215558,light,Caitlyn Reed,"Caldwell, Garcia and Johnson",Operational,Main Power,Office husband push century computer whatever role poor entire.,18/03/2005,10/09/2022,26/04/2020,23/01/2016,28/01/2019,18/08/2018,26/06/2036,20/11/2023,5 Years,34 Years,MCCMS-317,Beyond weight help.,Yes,No,Fall which while which account bag strong benefit item modern.,Firmware 3.8,No,No,30/04/2025,21/11/2024,28/01/2021,2 Years,9 Years,07/12/2047
EQ-4797,Property Line 33,BRS-908,remain,East Maryport,Rack B,Shelf 1,"Shelf 5, Row 4",Row 4,Col 2,Part 59025,Training thus hour game boy himself.,Part No V10,Hitachi 85997,SN-401954,time,Joseph Martinez,Wheeler-Weber,Standby,Main Power,Employee side although way cup mean white.,24/03/2020,19/05/2014,27/01/2005,14/06/2007,29/01/2016,07/06/2018,13/02/2045,11/07/2024,4 Years,12 Years,MCCMS-473,Leave her window adult.,No,Yes,Us kind thank assume benefit eight actually bag.,Firmware 4.2,No,Yes,05/07/2024,25/07/2022,14/08/2023,4 Years,7 Years,20/09/2055
EQ-3377,Property Line 27,BRS-165,one,South Meganstad,Rack D,Shelf 3,"Shelf 7, Row 4",Row 1,Col 2,Part 43496,Foreign stock if then.,Part No S18,Hitachi 35621,SN-482150,outside,Desiree Myers,Molina Ltd,Operational,Main Power,Spring event edge each.,09/12/2015,28/11/2019,01/05/2014,17/08/2021,18/03/2019,15/04/2023,09/07/2036,01/08/2021,7 Years,49 Years,MCCMS-522,Wrong affect military management reality.,No,Yes,Avoid respond go thing security page manage majority.,Firmware 1.2,Yes,No,27/07/2025,02/02/2023,10/02/2022,4 Years,4 Years,24/12/2058
EQ-9823,Property Line 22,BRS-446,reason,Johnmouth,Rack C,Shelf 9,"Shelf 5, Row 4",Row 2,Col 1,Part 51246,Born lawyer else.,Part No I8,Hitachi 89348,SN-200993,sister,Jennifer Beard,Jarvis-Walsh,Standby,Main Power,Detail total science fear future.,22/06/2012,02/06/2014,06/09/2013,02/06/2017,10/10/2019,23/01/2021,23/03/2047,28/04/2020,8 Years,43 Years,MCCMS-986,Option four feeling this position.,No,No,Any decade store alone century compare natural.,Firmware 4.2,Yes,No,28/07/2020,24/04/2022,27/07/2025,8 Years,12 Years,27/10/2055
EQ-1321,Property Line 38,BRS-964,movie,Fitzgeraldshire,Rack A,Shelf 2,"Shelf 3, Row 1",Row 3,Col 2,Part 88697,Among ball happen ago team develop side.,Part No O19,Hitachi 16336,SN-457072,two,Cynthia Berry,Peck and Sons,Operational,Main Power,Conference help that sense.,06/02/2016,19/08/2023,22/03/2018,28/07/2020,23/10/2023,17/05/2015,03/09/2043,12/08/2021,7 Years,30 Years,MCCMS-560,City trip yeah party nearly.,Yes,No,Guess both car media risk pretty college laugh vote Republican.,Firmware 4.1,No,Yes,04/03/2020,11/12/2024,01/10/2024,7 Years,4 Years,28/10/2049
EQ-9097,Property Line 32,BRS-524,foreign,Philipside,Rack B,Shelf 9,"Shelf 7, Row 4",Row 1,Col 2,Part 15909,Born teach land ever ago describe maybe alone.,Part No A3,Hitachi 55591,SN-727795,allow,John Buckley,"Wood, Golden and Pacheco",Standby,Main Power,Child develop performance apply of begin individual successful.,19/12/2005,26/10/2002,07/07/2011,16/11/2018,26/08/2020,23/01/2016,04/12/2049,20/06/2021,1 Years,17 Years,MCCMS-747,Certainly condition trouble police worry half.,No,No,Interesting society art score wide.,Firmware 4.3,No,Yes,09/05/2022,29/05/2025,03/04/2020,8 Years,14 Years,07/01/2043
EQ-2600,Property Line 37,BRS-529,car,South Jeffreystad,Rack A,Shelf 6,"Shelf 5, Row 3",Row 2,Col 3,Part 67282,West interest new director him.,Part No P10,Hitachi 27614,SN-885698,short,Andrew Foley,Martin-Wilson,Standby,Main Power,Glass study activity assume mouth mind room.,18/09/2019,05/12/2012,04/02/2016,15/11/2017,30/10/2020,01/02/2017,18/07/2043,25/05/2024,7 Years,19 Years,MCCMS-883,Environment couple nature yourself.,Yes,Yes,Hold discover group election beat tonight measure care almost wind into.,Firmware 4.7,No,Yes,23/04/2020,18/06/2022,18/12/2020,13 Years,5 Years,08/02/2055
EQ-5109,Property Line 32,BRS-679,project,Port Dennis,Rack B,Shelf 8,"Shelf 8, Row 1",Row 1,Col 4,Part 57480,Agency for role add rather.,Part No K4,Hitachi 96024,SN-833790,weight,Michael Diaz,Hill-Medina,Operational,Main Power,Pick good later floor finally color.,15/11/1997,19/12/2003,09/07/2021,29/10/2005,17/08/2024,31/05/2021,01/07/2046,20/09/2020,9 Years,16 Years,MCCMS-120,Small agreement may stuff bag.,Yes,No,Middle maintain nor military born almost theory.,Firmware 3.2,No,No,10/09/2021,16/01/2020,01/08/2024,4 Years,5 Years,04/06/2057
EQ-2466,Property Line 23,BRS-714,me,Samanthachester,Rack C,Shelf 6,"Shelf 4, Row 4",Row 1,Col 4,Part 47707,Phone capital over else interview tax picture.,Part No G19,Hitachi 29817,SN-655605,agreement,Martin Johnson,Carrillo-Johnston,Operational,Main Power,Seem however employee than huge sea single.,25/03/1997,17/10/2019,13/11/2017,21/03/2019,27/07/2012,23/09/2017,22/07/2044,12/01/2022,9 Years,17 Years,MCCMS-869,Race much play word college maybe easy.,No,No,Certainly stage late or question sing product learn notice.,Firmware 4.1,No,No,24/07/2020,07/03/2024,19/11/2023,14 Years,10 Years,12/09/2058
EQ-8650,Property Line 17,BRS-839,shoulder,Jacksonhaven,Rack B,Shelf 1,"Shelf 7, Row 1",Row 2,Col 2,Part 65074,Reason popular more.,Part No O5,Hitachi 47939,SN-190029,movie,Shannon Sutton,"Bates, Collins and Johnson",Operational,Main Power,Fine short station herself history wish player.,20/10/2000,26/09/2017,13/01/2014,16/05/2007,20/05/2014,29/01/2020,27/01/2025,21/12/2025,5 Years,43 Years,MCCMS-951,Place let statement style radio agency.,Yes,Yes,White collection message middle blood eat style task lot.,Firmware 3.4,Yes,No,01/04/2022,07/05/2023,04/09/2025,11 Years,7 Years,15/12/2058
EQ-5107,Property Line 28,BRS-697,collection,Mariefurt,Rack A,Shelf 8,"Shelf 4, Row 2",Row 2,Col 4,Part 46492,Model represent help statement eat bring.,Part No N4,Hitachi 75277,SN-558574,simply,Anna Novak,"Meza, Smith and Cunningham",Standby,Main Power,In cold pretty she happy hair common.,15/03/2000,27/12/2023,24/11/2015,28/12/2006,16/07/2010,02/10/2017,17/01/2043,05/04/2022,1 Years,21 Years,MCCMS-342,Number sense raise wide.,Yes,Yes,Wait organization himself her water gun always detail charge treatment.,Firmware 2.8,No,No,28/10/2020,12/05/2021,29/09/2021,16 Years,11 Years,20/03/2056
EQ-5429,Property Line 41,BRS-269,author,New Cindy,Rack C,Shelf 7,"Shelf 3, Row 3",Row 1,Col 4,Part 39507,Task area loss treatment.,Part No Q11,Hitachi 46741,SN-101066,serious,Brittany Ball,Park-Hughes,Operational,Main Power,Fall work require dream anyone popular east.,12/04/2006,29/08/2014,26/08/2017,22/08/2012,09/07/2010,06/10/2019,08/02/2030,05/01/2023,7 Years,32 Years,MCCMS-216,Hot partner pass check mention writer.,No,No,Develop director grow answer explain.,Firmware 4.8,Yes,Yes,25/09/2020,30/09/2024,18/05/2025,9 Years,8 Years,03/09/2055
EQ-9346,Property Line 4,BRS-282,first,East Jessica,Rack A,Shelf 4,"Shelf 7, Row 3",Row 2,Col 1,Part 29423,Civil upon company result director cost.,Part No N4,Hitachi 49535,SN-935314,reflect,Debra Cisneros,Moore-Robinson,Standby,Main Power,Reveal amount leg cup own.,08/02/1998,09/01/2007,30/08/2015,16/12/2017,15/09/2011,08/11/2022,16/05/2036,14/02/2021,6 Years,11 Years,MCCMS-296,Popular because total future seven.,No,Yes,Defense single experience event yard know education.,Firmware 2.2,Yes,Yes,12/09/2020,15/09/2022,01/06/2025,3 Years,12 Years,30/10/2040
EQ-5374,Property Line 7,BRS-297,determine,North Jonathanberg,Rack A,Shelf 6,"Shelf 5, Row 2",Row 3,Col 1,Part 35725,Attorney its executive want pull care white.,Part No J7,Hitachi 21768,SN-425806,civil,David Miller,Valencia-Carney,Operational,Main Power,Either their share state community performance.,22/06/2016,28/12/2001,21/07/2020,05/06/2025,22/11/2021,07/06/2024,27/12/2043,07/06/2021,5 Years,16 Years,MCCMS-387,War pass whatever skin.,Yes,No,Current put degree way.,Firmware 1.5,Yes,No,18/11/2020,02/12/2020,07/06/2025,10 Years,17 Years,25/07/2043
EQ-5299,Property Line 1,BRS-950,often,Angelachester,Rack C,Shelf 3,"Shelf 8, Row 4",Row 3,Col 1,Part 91545,Fast result culture song author sport investment.,Part No T6,Hitachi 96510,SN-808918,employee,Rose Boyer,"Johnson, Clark and Baker",Operational,Main Power,Lot community next body none itself also.,06/10/2019,20/11/2014,09/09/2021,15/03/2021,31/08/2012,20/11/2019,06/08/2039,10/10/2022,2 Years,49 Years,MCCMS-979,Still audience than party dog tough class newspaper.,No,No,Suffer class degree participant magazine seem arm statement career less.,Firmware 1.8,Yes,No,17/09/2020,24/11/2021,18/09/2025,8 Years,9 Years,31/01/2048
EQ-5114,Property Line 37,BRS-347,decide,North Kimberlyton,Rack B,Shelf 8,"Shelf 2, Row 2",Row 2,Col 3,Part 15952,Move TV author discuss special to deep least.,Part No A7,Hitachi 42881,SN-485649,best,Bryan Hood,"Hernandez, Rodriguez and Chase",Operational,Main Power,Body whether trouble project nature for debate front.,07/07/2009,02/04/2018,15/06/2005,26/05/2007,09/05/2021,29/04/2023,07/05/2034,01/11/2025,2 Years,31 Years,MCCMS-867,Government table various kind else.,Yes,Yes,Subject audience property television young scientist.,Firmware 1.4,No,No,05/02/2023,19/09/2021,14/02/2024,17 Years,8 Years,02/09/2044
EQ-6005,Property Line 22,BRS-368,budget,Michaelside,Rack A,Shelf 6,"Shelf 9, Row 1",Row 3,Col 1,Part 82276,Area information board.,Part No W15,Hitachi 26941,SN-114315,during,Sheila Clark,Young Group,Standby,Main Power,He business enter small language research sit.,27/10/1999,08/06/2015,23/09/2005,18/06/2008,27/09/2019,16/04/2025,31/05/2029,16/02/2022,5 Years,15 Years,MCCMS-575,Very successful front kind remain.,No,No,Collection another impact city particular heart moment.,Firmware 4.6,Yes,No,22/03/2024,02/10/2023,11/01/2020,16 Years,11 Years,17/12/2042
EQ-6298,Property Line 18,BRS-437,five,Kingstad,Rack C,Shelf 2,"Shelf 7, Row 2",Row 4,Col 3,Part 79703,Term leader explain thought society.,Part No H16,Hitachi 84940,SN-984974,can,Melissa Williams,Reeves and Sons,Operational,Main Power,Here few part away.,31/03/2006,21/04/2012,08/07/2020,07/10/2021,16/12/2013,28/10/2019,30/06/2036,17/06/2022,7 Years,39 Years,MCCMS-943,Wish so image any follow size us spend.,No,No,Mean try paper break stock including town.,Firmware 2.1,Yes,No,03/09/2020,02/03/2025,27/08/2020,15 Years,15 Years,07/08/2055
EQ-4947,Property Line 44,BRS-884,lay,Rivasfurt,Rack C,Shelf 9,"Shelf 9, Row 4",Row 1,Col 2,Part 28522,Contain back require as spend simple.,Part No Y1,Hitachi 51793,SN-682470,set,Terrence Cohen,"Mendoza, Davis and Robbins",Standby,Main Power,Nice in plant scientist pattern strategy assume entire before.,25/10/2007,23/03/2023,02/12/2006,10/09/2020,30/11/2011,06/08/2019,17/04/2041,10/01/2021,1 Years,29 Years,MCCMS-540,Continue economy believe value conference teacher.,Yes,No,Foot culture building middle people sister.,Firmware 2.7,Yes,Yes,12/06/2020,08/01/2024,12/05/2020,18 Years,2 Years,03/03/2041
EQ-8856,Property Line 23,BRS-948,worker,Lopezstad,Rack E,Shelf 5,"Shelf 9, Row 4",Row 4,Col 3,Part 36609,Seven top successful about morning heart.,Part No P16,Hitachi 72556,SN-609348,system,Debbie Green,"Russell, Martinez and Reyes",Standby,Main Power,Actually food few policy despite rather member size.,10/07/2004,30/05/2004,07/01/2006,11/09/2005,07/12/2025,12/07/2022,30/08/2039,18/05/2023,7 Years,48 Years,MCCMS-371,Finish market position medical deep business large.,No,No,Hear manager country action north too century mouth kid above.,Firmware 3.8,Yes,No,06/02/2020,15/03/2025,17/05/2023,12 Years,5 Years,24/02/2054
EQ-1698,Property Line 22,BRS-506,popular,Nicholasstad,Rack E,Shelf 7,"Shelf 8, Row 4",Row 1,Col 3,Part 37134,Generation particularly likely however then.,Part No L16,Hitachi 40164,SN-257558,decade,Andrew Brown,Gilbert Ltd,Standby,Main Power,Cup few send avoid.,23/01/2014,17/08/2012,19/02/2011,17/12/2024,16/07/2010,01/07/2015,19/08/2047,03/01/2020,1 Years,24 Years,MCCMS-422,Specific likely husband worker west paper.,No,No,Subject report truth against ability up chair.,Firmware 4.4,No,No,09/06/2025,04/08/2021,25/06/2021,18 Years,6 Years,04/06/2042
EQ-5297,Property Line 22,BRS-991,throw,Port Christophertown,Rack D,Shelf 1,"Shelf 3, Row 3",Row 3,Col 1,Part 65461,Enjoy seven just seven item nothing institution up.,Part No S4,Hitachi 78789,SN-410875,sell,Abigail Munoz,Chandler LLC,Standby,Main Power,So project game production believe century.,15/06/2010,13/10/2020,17/01/2013,15/12/2005,20/10/2010,10/12/2017,06/04/2029,22/01/2021,8 Years,41 Years,MCCMS-532,Employee ground respond clearly day.,Yes,No,Minute project me imagine country instead affect make then.,Firmware 1.1,No,Yes,06/11/2024,10/09/2024,15/09/2022,1 Years,2 Years,12/12/2055
EQ-7168,Property Line 41,BRS-782,mother,Port Michael,Rack D,Shelf 5,"Shelf 7, Row 4",Row 3,Col 3,Part 46709,Assume sing why blue.,Part No R16,Hitachi 42347,SN-497978,often,Ronald Navarro,Becker-Martinez,Standby,Main Power,Rise rest well reason price speak itself meet.,05/11/2016,28/09/2022,13/04/2014,30/03/2025,15/04/2025,03/11/2024,07/10/2049,06/04/2024,7 Years,46 Years,MCCMS-989,Election board couple accept sea sit.,No,No,Huge common say concern like.,Firmware 1.7,No,No,15/05/2022,13/03/2021,03/10/2021,13 Years,18 Years,13/05/2053
EQ-4285,Property Line 33,BRS-247,interest,North Anthony,Rack A,Shelf 8,"Shelf 8, Row 2",Row 3,Col 1,Part 73293,Head world just green attorney challenge.,Part No M14,Hitachi 99728,SN-586024,rather,Jessica Rivera,"Smith, Gonzales and Duran",Operational,Main Power,Someone political whatever similar sit by.,19/09/2009,04/02/2007,02/09/2022,26/08/2017,23/04/2010,30/07/2025,05/05/2026,25/10/2021,1 Years,17 Years,MCCMS-757,Information discover hotel election argue.,Yes,Yes,Open animal Republican suffer article money effect a a partner store.,Firmware 4.5,No,Yes,10/09/2020,13/02/2025,15/03/2020,1 Years,5 Years,15/11/2053
